id,qid,gold_answer,best_score,partial_ratio,token_set_ratio,exact,has_timing,audio_full_answer_end,timing_valid_30s,is_boundary_qid,answer_start_in_manifest_transcript,answer_end_in_manifest_transcript,chars_after_answer,audio_path,question,asr_transcript
sc-nat-5705eee952bb8914006896e0,5705eee952bb8914006896e0,Monterey,50.0,50.0,4.78,False,False,,,False,217,225,174,data/raw/nmsqa_squad_30s/squad-5705eee952bb8914006896e2-full.wav,Which Californio is located in the upper part?,"Though there is no official definition for the northern boundary of Southern California, such a division has existed from the time when Mexico ruled California and the political disputes raged between the Californians of Ontario and the Upper part and Los Angeles in the Lower part of Alta California. Following the equation of California by the United States, the division continued as part of the attempt by several pro-slavery politicians"
sc-nat-571095a8a58dae1900cd6a78,571095a8a58dae1900cd6a78,France Antarctique,72.22,72.22,50.0,False,False,,,False,215,233,196,data/raw/nmsqa_squad_30s/squad-571095a8a58dae1900cd6a76-full.wav,What was the Brazilian French colony called?,"The first Huonots to leave France sought freedom from persecution in Switzerland and the Netherlands. A group of Huonots was part of the French colonizers who arrived in Brazil in 1555 to found France articule. A couple of ships with around 500 people arrived at the Guanara Bay, present-day Rio de Janeiro and settled in a small island. A fort named Fort Collingy was built to protect them from the"
sc-nat-5710e9f8a58dae1900cd6b31,5710e9f8a58dae1900cd6b31,Jean Ribault,75.0,75.0,50.0,False,False,,,False,60,72,218,data/raw/nmsqa_squad_30s/squad-5710e9f8a58dae1900cd6b32-full.wav,Who was the leader who established the colony at Florida?,"In 1564, a group of Norman Huguenots, under the leadership of Jean Rebolt, established the small colony of Fort Caroline on the banks of the St. John's River in what is today Jacksonville, Florida. The effort was the first at any permanent European settlement in the present-day continental United States, but"
sc-nat-5726a299dd62a815002e8b9f,5726a299dd62a815002e8b9f,member states,53.85,53.85,10.57,False,False,,,False,303,316,50,data/raw/nmsqa_squad_30s/squad-5726a299dd62a815002e8b9e-full.wav,Which entities were originally concerned with preventing violation of human rights?,"None of the original treaties establishing the European Union mentioned protection for fundamental rights. It was not envisaged for European Union measures, that is, legislative and administrative actions by European Union institutions, to be subject to human rights."
sc-nat-572885c44b864d1900164a7a,572885c44b864d1900164a7a,Khanbaliq,66.67,66.67,5.28,False,False,,,False,306,315,90,data/raw/nmsqa_squad_30s/squad-572885c44b864d1900164a7b-full.wav,Where was the Central Secretariat based?,"The central region consisting of present-day Hebei, Shandong, Shangzhi, the southeastern part of present-day Inner Mongolia and the Henan areas to the north of the Yellow River, was considered the most important region of the dynasty and directly governed by the Central Secretariat or Zhongzhu Shang at Can Balik, modern Beijing."
sc-nat-572a0b101d046914007796eb,572a0b101d046914007796eb,Brazilian National Institute of Amazonian Research,49.46,49.46,36.07,False,False,,,True,386,436,17,data/raw/nmsqa_squad_30s/squad-572a0b101d046914007796ea-full.wav,"What organization argued that drought, among other effects, could cause the Amazon forest to reach a ""tipping point?""","In 2005, parts of the Amazon basin experienced the worst drought in 100 years and there were indications that 2006 could have been a second successive year of drought. A July 23, 2006 article in the UK newspaper The Independent reported Woods Hole Research Center results showing that the forest in its present form could survive only three years of drought."
sc-nat-572fe9b3947a6a140053cde1,572fe9b3947a6a140053cde1,Aare,75.0,75.0,3.21,False,True,36.4424375,False,False,155,159,147,data/raw/nmsqa_squad_30s/squad-572fe9b3947a6a140053cde1-full.wav,What is the major tributary for the Rhine? ,"The Rhine emerges from Lake Constance, flows generally westward as the Horkine passes the Rhine Falls and is joined by its major tributary, the River Arriff. The Arr more than doubles the Rhine's water discharge to an average of nearly 1,000 m3 over s, 35,000 cubic feet over s and provides more than a fifth of the discharge"
sc-nat-572ff07304bcaa1900d76ef7,572ff07304bcaa1900d76ef7,Moselle,57.14,57.14,4.68,False,False,,,False,160,167,197,data/raw/nmsqa_squad_30s/squad-572ff07304bcaa1900d76ef9-full.wav,Which of the tributaries in Germany contributes most? ,"The Rhine is the longest river in Germany. It is here that the Rhine encounters some more of its main tributaries such as the Neckar, the Main and later the Mustel, which contributes an average discharge of more than 300 m3 per second, 11,000 cubic feet per second. Northeastern France drains to the Rhine via the Mustel. Smaller rivers drain the Vosges and Jura Mountains uplands."
sc-nat-573010fab2c2fd14005687d9,573010fab2c2fd14005687d9,domestic Islamists,50.0,50.0,14.11,False,False,,,False,350,368,143,data/raw/nmsqa_squad_30s/squad-573010fab2c2fd14005687db-full.wav,What did Saudi Arabia try to repress to compensate for its loss of stature? ,These attacks resonated with conservative Muslims and the problem did not go away with Saddam's defeat either since American troops remained stationed in the kingdom in a de facto cooperation with the Palestinian-Israeli peace process developed.
sc-nat-5733647e4776f419006609af,5733647e4776f419006609af,Pawiak,66.67,66.67,3.76,False,False,,,False,71,77,363,data/raw/nmsqa_squad_30s/squad-5733647e4776f419006609b1-full.wav,What was the name of the infamous German Gestapo prison?,"There are also many places commemorating the heroic history of Warsaw. Pavek, an infamous German Gestapo prison now occupied by a mausoleum of memory of martyrdom and the museum, is only the beginning of a walk in the traces of a heroic city. The Warsaw Citadel, an impressive 19th century fortification built after the defeat of the November uprising, was a place of martyr for the Poles."
sc-nat-57337f6ad058e614000b5bcd,57337f6ad058e614000b5bcd,1951,75.0,75.0,2.61,False,False,,,False,295,299,88,data/raw/nmsqa_squad_30s/squad-57337f6ad058e614000b5bcb-full.wav,When did the Warsaw area enlargement take place?,"In 1939, C, 1,300,000 people lived in Warsaw, but in 1945, only 420,000. During the first years after the war, the population growth was C, 6%, so shortly the city started to suffer from the lack of flats and of areas for new houses. The first remedial measure was the Warsaw Area Enlargement"
